	nTconv_1	mTconv_1	nTreg_1	eTreg_1	nTconv_2	mTconv_2	nTreg_2	eTreg_2	nTconv_3	mTconv_3	nTreg_3	eTreg_3
MEA1	234.506867775973	217.011756561231	161.618614615767	243.619864854886	121.151074065825	159.773033452778	185.899710176362	195.093632353169	121.374207655413	194.185970384952	140.362483869506	156.875850038988
MEAF6	438.259604320644	519.432085068114	491.227891792391	510.448747267499	301.00006612365	329.0889391257	552.795932064347	416.604941317148	397.418546682597	588.36728292339	456.567454266234	429.933081249911
MEAK7	55.6951960686004	54.1266770232295	41.358679481189	41.5160218691789	58.3954385095208	117.53445907474	100.281141835201	84.9616519876659	46.6562821584031	93.953819734902	43.9423767095335	63.4752101714213
MECOM	16.5689762617769	9.18589353563004	9.42599796859075	18.4653371000986	10.8796873316363	11.8077488968281	27.9250735212417	32.1728133009556	11.1096494741517	11.6542172367055	2.93408596548774	13.1825284134823
MECP2	709.301277689506	1629.87846538538	558.107261444897	2604.93905729599	2714.51488014107	2518.51161210211	2920.3931462552	1123.36902269448	651.985703225245	3286.29808228351	717.4586740656	1196.09547855096
MECR	48.5931977935343	27.2508118485621	31.1635936097155	20.8139580541762	59.8748634515749	33.8554684630231	67.6536550700083	30.2929808433242	34.9731263672669	56.1084687184696	35.4356957504234	23.7895512684689
MED1	135.880136592985	116.136658860811	151.902749640095	139.139870154301	141.569241978472	100.385605289085	209.471955499305	155.069656585939	103.138381846729	148.301293357385	144.882994182568	146.822037673226
MED10	823.378156591556	716.052384277197	779.278827983809	553.725984626707	535.266385317456	588.210930271352	904.785607572134	607.726890045159	655.116890304134	1030.93416831381	718.932839261071	609.103492811329
MED11	196.063977895982	171.442160460146	142.929299254961	119.761991568496	195.060583652449	133.725665945538	299.028965798647	206.16214173787	130.152853164395	205.559547435487	132.987417263341	181.646099369206
MED12	106.691405175184	47.7340614871219	113.711736812285	52.197516913738	105.780055425151	74.1004962356036	199.346844366766	93.2016823473362	121.701968282246	88.6652076751185	126.699698976359	91.1407063311468
MED12L	0	0.266192176506399	0.355263222955789	0.593807928831748	0.180446995892321	0.536155884674811	1.33659849742328	0.593210995967834	0	0.103495704661756	0	0.934077485242281
MED13	199.776621018379	241.918979894206	276.588690457336	273.583854995051	282.44078133257	255.912627331476	403.782808193704	421.484296529735	214.579116851889	377.676066876365	258.594576982117	401.880830556442
MED13L	300.022024648257	290.995543112229	289.697569413231	219.626206212585	395.760112313436	325.603194776571	583.899940777982	403.224904174279	359.569064693454	627.349623993977	364.831402634091	382.949448639648
MED14	87.2900102351935	100.496125910222	108.586078163785	69.258125115914	103.4353864938	91.4144270752465	178.242651345427	145.900425712526	119.593761902651	165.260686710502	145.707832250745	115.408953666933
MED15	737.807350250468	602.918516718951	653.375123970582	841.504195036874	883.601437919608	1012.12600656946	1885.52860163389	1642.33226477369	541.835894914364	1210.23301820271	945.434633730829	1661.06844554644
MED16	145.793814902404	126.632165981943	85.3167642326124	127.34849874049	194.719103919894	143.429279047819	203.561036088635	177.340723721564	68.1726867393961	146.66431125816	67.1188028644428	132.516943344511
MED17	302.845512933471	306.286272730596	393.028583420245	243.388044343846	290.583152565205	293.718608857989	575.8423751117	473.849975262158	339.593688430387	529.797806526422	415.417168876491	449.411576783529
MED18	91.608784424701	73.2667486240842	64.0221852367976	59.4066012683468	87.9857834654791	59.3278394144651	126.341516668731	87.6435145042274	51.5671017578357	76.9034887884728	55.0596296385357	110.86032052088
MED19	29.683697159326	44.3316383123076	34.0515788220423	48.1788287376476	42.9327237722907	70.7804507945658	61.2566676116018	61.8887409221567	32.5008723783664	63.6432696411929	44.3609318824202	25.2328440721406
MED20	44.4905339525584	16.6161927810716	29.2891387895727	77.2675258403219	71.0511742175724	38.4708107898621	59.7462417155255	60.5329060452693	46.4351764697446	47.1472613726732	35.6059850977576	50.8721724711131
MED21	246.404538712996	376.505735609302	396.829985340358	356.547953196293	328.528893237314	413.164899547707	643.421814102453	463.116427253835	352.988342838092	546.769823878147	490.455923385037	409.944070778425
MED22	171.841164435602	97.0735553375467	131.17384680206	74.6834860907333	131.586663437549	132.038029541482	213.220497786892	102.209370935454	118.036300685398	169.167063164888	143.121109986024	93.226159416224
MED23	130.255473099867	164.587300131528	183.732798815258	163.258145246158	204.336151715391	189.600030196749	341.154022888928	240.953294370996	187.753605181481	302.552403762178	247.840229913935	248.781604827854
MED24	330.111151325645	254.745869283926	229.99446360657	244.771555771267	264.43188778535	319.216047252521	391.181437921357	357.259662670969	277.683506713725	349.911255474774	367.669221216366	290.929091838675
MED25	140.342790770297	98.3942625362728	80.2028223136617	96.4232868752806	99.1338357940042	126.080137820464	167.806455086623	145.584830620213	85.1459555065056	156.266021815159	69.3371217784622	149.936859131914
MED26	32.6527689177141	38.7176373468204	33.7273604942372	57.6991118878346	52.2450939206188	73.6842237378252	127.164734760872	210.822609192438	40.0967136882369	114.094025881293	48.7129410651171	148.842745287881
MED27	200.200930832626	236.57952676671	168.706359457498	164.734649579381	185.550516067365	146.238773867036	291.689019195954	250.817212023562	163.041553183855	260.147456839388	156.993596528495	230.017638317133
MED28	212.430562028533	202.508269879325	233.622500091826	219.792620665434	264.961344945174	182.193125978468	407.878965885773	272.862158958241	261.378658745829	350.118708094903	243.931412424762	354.345976136364
MED29	178.321829327149	110.315053522777	125.767208552132	143.71649094945	171.465715713757	155.59800584788	290.143546818007	232.689377450431	136.712739449451	214.687027865243	138.745976603326	156.746175930304
MED30	496.25764160046	441.457226626447	675.131393149426	377.074189115393	403.195052325629	417.147740621109	825.167997504958	541.9876709599	535.410163902987	672.251091827257	809.002589448243	574.976210302289
MED31	82.7047180164327	73.8942304403098	39.2686301801051	45.4007711437615	103.516083180328	119.782621321553	83.7068871460947	82.1148525465431	47.1106265865308	92.817369956262	52.5409311473044	54.4617998610806
MED4	565.415547074203	703.671966460005	744.327823738035	700.98709184116	594.909247941907	686.924235423105	1188.4227730612	1076.45872425537	682.479583919069	1115.43779182991	816.786677476255	984.713624145417
MED6	240.040162508336	314.955064265354	344.5758902032	234.487485042601	337.946895502867	301.479390077925	602.136585744839	380.840980793803	285.938823268398	533.65723172085	318.753210232283	393.941638573762
MED7	89.2041212470503	94.27768119255	92.5990445091815	63.2768498701068	113.61346430679	97.1186947601002	141.626811914827	98.1607362447346	95.1356720448385	100.095171040939	85.7713057664752	77.116591469517
MED8	74.9793086219043	67.8068365282167	60.1299564719011	67.6305341944967	63.7592351223235	75.6347867792862	71.5158981768224	72.7510015973863	57.4764957424888	135.194393859167	57.7546565412641	88.6427854364533
MED9	138.530333957376	70.6042487257843	94.8784920805379	50.3980272576224	63.6680971535202	63.561018781407	118.562904715774	88.087272739598	45.5326663088559	132.340329155122	62.9299608163533	96.905992606421
MEDAG	0	0	0	0	0	0.536903790284918	0	0	0	0	0	0.614990385088035
MEF2A	236.245816614139	229.360006172526	278.878978222603	185.292674480602	323.733038839563	289.354193065058	353.631581517378	236.606064374159	336.787551204267	351.892841110109	235.7424925118	233.923300009915
MEF2B	32.0625757629669	37.5661159308921	18.009822714657	9.85853843430624	21.0648061408966	16.4463771387863	143.578332385276	12.413867855288	17.3667796862413	11.7506893596783	37.6821867454869	77.3030214418729
MEF2C	1.07951932728222	1.35038834089194	7.28429963715428	0.349207303980735	3.71774048339253	0.957016657319617	7.55686975012866	0.210786712876437	1.01972777041679	0.730992771161393	15.6495756924408	0.411316468905606
MEF2D	323.007759289822	294.990454680237	319.396538543111	283.012055150452	384.536214716544	587.921423572769	867.854113447758	836.799983988712	319.9427544328	772.367531275036	439.468513393083	739.092222789266
MEFV	23.8517891847157	33.8382582851566	19.8728492853339	44.4112263703745	49.2074965038278	43.5829641242241	89.3628824657048	64.6938031405507	34.4163894594924	46.9096455658918	28.8238503648851	62.6797471299275
MEGF10	0	0	0	0.282940966284372	0	0	0.160972207288653	0	0	0	0	0
MEGF11	0.268879679425285	0	0	0	0	0.392112625541697	0.348849712948662	0	0	0	0.177861168898856	0
MEGF6	190.31435342682	97.5008721560716	164.607623334294	139.6004505666	217.366717435895	237.709705631298	511.66081662571	290.333117538407	150.370544586297	228.562093725512	193.370047680198	277.598371920077
MEGF8	29.600845825421	12.344431750303	26.1020219213263	7.0885707765413	35.9521856169909	24.4964213577227	43.1002658259782	20.2880128270913	22.1857320873931	176.892713118757	22.5400048449382	17.6417407643353
MEGF9	47.871216816071	57.8307112163776	49.4816572937011	56.9096979063869	77.419386121572	74.4748355986129	92.4829516490208	100.099465250472	70.6147483137212	127.219479231326	71.3565500920308	116.943734445717
MEI1	268.995735818712	214.069581983037	286.96136910643	323.966149064021	182.921734349904	237.324130877269	664.313863638928	374.637565591456	140.569348362873	255.203013459812	271.955664126686	415.375459525311
MEI4	0	0	0.208637672771188	0	0.580633181500576	0.258514834648619	0.599112319907993	0	0	0.248974770038097	0	0
MEIG1	0	0	0	9.61074484898203	0	0	4.50137853528031	0	0	0	0	0
MEIKIN	0	9.9709221127163	0	0.862727993556348	0	0.937604725192116	0	0	4.19880207527219	5.3092084165936	7.01779107419998	0
MEIOB	0	0	0	0	0	0	0.762710715422255	0	0	0	0	0
MEIOC	6.71790103970565	5.24698453428057	3.94670711914597	5.41871862440488	10.1862436513475	4.83743667930559	9.004949937729	6.29699379601242	2.69415421478462	6.57342676569463	3.46420544045635	6.86471198667678
MEIOSIN	0	0	0	0	0	0	0	0	0	0	0	0
MEIS1	0	0.551582739713255	0	0	0	0.229413743325011	0	0	0.380957230966224	0.817647692711649	0	0
MEIS2	0	0	0	0	0	0.510281711938631	0	0	0	0	0	0
MEIS3	0	0	2.95490149633467	1.20487107928809	0	0	0	2.45459895147592	0	8.08947939182531	5.67663856605303	7.2786102499034
MELK	0.426245593075965	8.24940495892114	4.69329357550779	9.01676320986547	0.646311938178205	7.15611213931427	2.0207599230176	7.72400087474979	1.5045730805134	5.26092623402667	0.506719378635261	17.1264024066716
MELTF	1.1824382350536	1.0915155493151	0.255748689500951	1.42210819832215	1.8390567064585	3.39852510949613	6.42598057641726	3.76139325640355	1.43568202929953	5.51708271517256	1.52892550824378	4.48859770581081
MEMO1	333.479883981184	307.124707728867	336.890769680657	300.036647420243	334.223573741943	267.919579627041	510.761084539616	379.38295220741	348.327596819815	520.162967856165	355.295342240732	358.45960310616
MEN1	168.933598823225	89.8276369616494	117.701194460743	71.9388305030409	139.99117439598	118.810781006972	187.324574860048	114.296050517854	122.740222791267	161.86195840055	101.384350740841	123.962769699021
MEOX1	4.53907872550315	13.7318097101161	2.88239313686011	27.1631847708871	7.49598201522937	7.61647745435361	12.2309201612427	36.1748625504641	1.5481604579639	16.3643128174897	5.54837742667474	31.4509125264626
MEOX2	0	0	0	0.514107995776641	0	0	0	0	0	0	0	0.556184786060073
MEP1A	0	0	0	0	0	0	0	0	0	0	0	0
MEP1B	0.864518825279568	0.893804890823169	0	0.493626726005552	0	0.530811300764382	2.77538197870498	1.18433911927879	0.479610711903963	0	1.89781934131385	1.15343405746925
MEPCE	140.904953847592	81.2465253316065	121.676294677349	73.528850371429	144.705585074671	108.940023605984	273.430695045294	137.127091319815	108.46742714676	156.798773004842	121.571654721157	101.057238761712
MEPE	0	0	0	0	0	0	0	0	0	0	0	0
MERTK	1.03246699653182	0.640822513347597	1.63065586333563	0.347701814845704	0.661432906998874	0	1.62737005776262	1.31287452042815	0.697257826756559	0.747517295435119	1.16432339589861	2.21558947450129
MESD	91.7015082306367	74.0540461014169	61.4546792065769	67.0542627325125	61.0808229677343	42.7972598687881	107.258897688759	69.6846939680918	60.7285833446348	87.4643860455397	66.0185691647026	85.9531052574777
MESP1	0	0	0.886366152254792	0	0	0	0	0	0.486677419464028	0	0.970378492664076	0
MESP2	0	0	0	7.83481361625416	0	6.63430091617264	7.44424566807345	2.03018927359453	0	0	3.07109404043867	9.41705117450817
MEST	23.6201797003555	14.4857063578597	24.3607117551537	10.0550957575294	17.9575286207667	5.08018667210521	22.5808330058936	8.64744025135636	24.0833861021868	11.7238073584675	29.0810470568984	5.08889977455902
MET	0.472743000561892	0.835947934539518	0.890615685794005	1.3897815415106	1.15112561105498	1.42193663349017	2.40469551066038	1.15949532329053	1.60823681972123	2.73490100946263	0.877135750724397	2.59974476936758
METAP1	467.220055793671	1322.50164793298	726.585277820836	352.686448012202	175.884318683266	209.461814943579	1395.05017278393	229.66546292717	1299.78516741088	1311.37798410074	771.302213981588	443.936009698008
METAP1D	62.4800105298477	25.0312929070268	61.9737547354672	18.3838008011755	55.4479143255116	25.5236487046204	89.5207820327695	35.5430607989726	47.2468009195136	35.8645560281919	53.0337739622625	25.950068278974
METAP2	300.615263428363	440.673801550978	415.628213028111	373.011899657815	330.219728385691	401.142333672102	569.278821665084	454.165250989378	467.40474127084	754.717191426091	659.601619111516	475.237265376633
METRN	22.5929780222401	22.0808281163944	55.1401719427775	40.7511920289912	16.302911670281	25.6139940216345	34.5815021144561	35.1267433029453	2.60273569634885	28.2516128176351	12.0873350885686	19.9250936174851
